#BLOCK:           ACTUAL_T:              T_AVE:              ERROR:
    239       1.0672490e+00       1.5085760e+00       2.4723366e-02
    240       1.0684144e+00       1.5067420e+00       2.4688282e-02
    241       1.0695441e+00       1.5049279e+00       2.4652401e-02
    242       1.0706381e+00       1.5031333e+00       2.4615764e-02
    243       1.0716963e+00       1.5013579e+00       2.4578411e-02
    244       1.0727188e+00       1.4996012e+00       2.4540379e-02
    245       1.0737060e+00       1.4978628e+00       2.4501706e-02
    246       1.0746579e+00       1.4961425e+00       2.4462427e-02
    247       1.0755756e+00       1.4944398e+00       2.4422574e-02
    248       1.0764599e+00       1.4927544e+00       2.4382182e-02
    249       1.0773125e+00       1.4910859e+00       2.4341279e-02
    250       1.0781342e+00       1.4894341e+00       2.4299895e-02
    251       1.0789256e+00       1.4877986e+00       2.4258059e-02
    252       1.0796877e+00       1.4861791e+00       2.4215795e-02
    253       1.0804218e+00       1.4845754e+00       2.4173131e-02
    254       1.0811292e+00       1.4829870e+00       2.4130089e-02
    255       1.0818113e+00       1.4814137e+00       2.4086693e-02
    256       1.0824691e+00       1.4798554e+00       2.4042964e-02
    257       1.0831041e+00       1.4783116e+00       2.3998923e-02
    258       1.0837177e+00       1.4767822e+00       2.3954589e-02
    259       1.0843112e+00       1.4752668e+00       2.3909981e-02
    260       1.0848863e+00       1.4737654e+00       2.3865116e-02
    261       1.0854442e+00       1.4722775e+00       2.3820011e-02
    262       1.0859857e+00       1.4708031e+00       2.3774682e-02
    263       1.0865124e+00       1.4693420e+00       2.3729143e-02
    264       1.0870256e+00       1.4678938e+00       2.3683409e-02
    265       1.0875268e+00       1.4664584e+00       2.3637493e-02
    266       1.0880173e+00       1.4650357e+00       2.3591407e-02
    267       1.0884975e+00       1.4636255e+00       2.3545163e-02
    268       1.0889682e+00       1.4622275e+00       2.3498773e-02
    269       1.0894306e+00       1.4608416e+00       2.3452248e-02
    270       1.0898857e+00       1.4594677e+00       2.3405597e-02
    271       1.0903342e+00       1.4581056e+00       2.3358831e-02
    272       1.0907770e+00       1.4567551e+00       2.3311958e-02
    273       1.0912144e+00       1.4554162e+00       2.3264989e-02
    274       1.0916470e+00       1.4540885e+00       2.3217930e-02
    275       1.0920754e+00       1.4527721e+00       2.3170790e-02
    276       1.0924995e+00       1.4514668e+00       2.3123577e-02
    277       1.0929198e+00       1.4501724e+00       2.3076298e-02
    278       1.0933364e+00       1.4488888e+00       2.3028961e-02
    279       1.0937493e+00       1.4476159e+00       2.2981572e-02
    280       1.0941589e+00       1.4463536e+00       2.2934138e-02
    281       1.0945652e+00       1.4451017e+00       2.2886666e-02
    282       1.0949680e+00       1.4438600e+00       2.2839161e-02
    283       1.0953668e+00       1.4426286e+00       2.2791631e-02
    284       1.0957615e+00       1.4414073e+00       2.2744080e-02
    285       1.0961518e+00       1.4401958e+00       2.2696516e-02
    286       1.0965378e+00       1.4389942e+00       2.2648943e-02
    287       1.0969189e+00       1.4378023e+00       2.2601367e-02
    288       1.0972953e+00       1.4366200e+00       2.2553793e-02
    289       1.0976669e+00       1.4354472e+00       2.2506227e-02
    290       1.0980334e+00       1.4342837e+00       2.2458674e-02
    291       1.0983940e+00       1.4331294e+00       2.2411138e-02
    292       1.0987486e+00       1.4319843e+00       2.2363625e-02
    293       1.0990967e+00       1.4308481e+00       2.2316139e-02
    294       1.0994380e+00       1.4297209e+00       2.2268686e-02
    295       1.0997721e+00       1.4286024e+00       2.2221269e-02
    296       1.1000985e+00       1.4274926e+00       2.2173894e-02
    297       1.1004173e+00       1.4263913e+00       2.2126565e-02
    298       1.1007283e+00       1.4252985e+00       2.2079285e-02
    299       1.1010313e+00       1.4242140e+00       2.2032060e-02
    300       1.1013263e+00       1.4231377e+00       2.1984893e-02
    301       1.1016131e+00       1.4220695e+00       2.1937789e-02
    302       1.1018917e+00       1.4210093e+00       2.1890750e-02
    303       1.1021620e+00       1.4199570e+00       2.1843781e-02
    304       1.1024242e+00       1.4189125e+00       2.1796885e-02
    305       1.1026788e+00       1.4178757e+00       2.1750066e-02
    306       1.1029260e+00       1.4168464e+00       2.1703327e-02
    307       1.1031663e+00       1.4158247e+00       2.1656670e-02
    308       1.1034005e+00       1.4148103e+00       2.1610098e-02
    309       1.1036291e+00       1.4138033e+00       2.1563615e-02
    310       1.1038525e+00       1.4128034e+00       2.1517222e-02
    311       1.1040717e+00       1.4118107e+00       2.1470923e-02
    312       1.1042874e+00       1.4108251e+00       2.1424717e-02
    313       1.1045007e+00       1.4098464e+00       2.1378609e-02
    314       1.1047129e+00       1.4088746e+00       2.1332598e-02
    315       1.1049247e+00       1.4079097e+00       2.1286687e-02
    316       1.1051371e+00       1.4069516e+00       2.1240877e-02
    317       1.1053513e+00       1.4060001e+00       2.1195168e-02
    318       1.1055682e+00       1.4050554e+00       2.1149562e-02
    319       1.1057889e+00       1.4041173e+00       2.1104059e-02
    320       1.1060145e+00       1.4031857e+00       2.1058659e-02
    321       1.1062456e+00       1.4022606e+00       2.1013364e-02
    322       1.1064836e+00       1.4013421e+00       2.0968172e-02
    323       1.1067297e+00       1.4004300e+00       2.0923084e-02
    324       1.1069849e+00       1.3995243e+00       2.0878100e-02
    325       1.1072502e+00       1.3986250e+00       2.0833219e-02
    326       1.1075264e+00       1.3977320e+00       2.0788441e-02
    327       1.1078140e+00       1.3968454e+00       2.0743765e-02
    328       1.1081135e+00       1.3959651e+00       2.0699191e-02
    329       1.1084250e+00       1.3950912e+00       2.0654718e-02
    330       1.1087493e+00       1.3942235e+00       2.0610346e-02
    331       1.1090862e+00       1.3933620e+00       2.0566074e-02
    332       1.1094363e+00       1.3925068e+00       2.0521901e-02
    333       1.1097993e+00       1.3916578e+00       2.0477827e-02
    334       1.1101749e+00       1.3908151e+00       2.0433851e-02
    335       1.1105625e+00       1.3899785e+00       2.0389972e-02
    336       1.1109614e+00       1.3891481e+00       2.0346190e-02
    337       1.1113712e+00       1.3883238e+00       2.0302505e-02
    338       1.1117907e+00       1.3875057e+00       2.0258917e-02
    339       1.1122186e+00       1.3866936e+00       2.0215424e-02
    340       1.1126538e+00       1.3858876e+00       2.0172029e-02
    341       1.1130952e+00       1.3850877e+00       2.0128730e-02
    342       1.1135411e+00       1.3842937e+00       2.0085527e-02
    343       1.1139898e+00       1.3835056e+00       2.0042423e-02
    344       1.1144396e+00       1.3827234e+00       1.9999417e-02
    345       1.1148885e+00       1.3819471e+00       1.9956509e-02
    346       1.1153342e+00       1.3811765e+00       1.9913702e-02
    347       1.1157748e+00       1.3804117e+00       1.9870997e-02
    348       1.1162085e+00       1.3796525e+00       1.9828394e-02
    349       1.1166330e+00       1.3788989e+00       1.9785896e-02
    350       1.1170463e+00       1.3781507e+00       1.9743505e-02
    351       1.1174464e+00       1.3774080e+00       1.9701222e-02
    352       1.1178308e+00       1.3766705e+00       1.9659049e-02
    353       1.1181972e+00       1.3759383e+00       1.9616989e-02
    354       1.1185436e+00       1.3752112e+00       1.9575044e-02
    355       1.1188681e+00       1.3744891e+00       1.9533217e-02
    356       1.1191685e+00       1.3737719e+00       1.9491510e-02
    357       1.1194430e+00       1.3730595e+00       1.9449927e-02
    358       1.1196896e+00       1.3723518e+00       1.9408470e-02
    359       1.1199067e+00       1.3716486e+00       1.9367142e-02
    360       1.1200928e+00       1.3709498e+00       1.9325946e-02
    361       1.1202467e+00       1.3702553e+00       1.9284885e-02
    362       1.1203670e+00       1.3695650e+00       1.9243962e-02
    363       1.1204523e+00       1.3688788e+00       1.9203181e-02
    364       1.1205025e+00       1.3681964e+00       1.9162544e-02
    365       1.1205167e+00       1.3675179e+00       1.9122055e-02
    366       1.1204938e+00       1.3668429e+00       1.9081716e-02
    367       1.1204337e+00       1.3661715e+00       1.9041531e-02
    368       1.1203359e+00       1.3655035e+00       1.9001503e-02
    369       1.1202003e+00       1.3648387e+00       1.8961633e-02
    370       1.1200270e+00       1.3641771e+00       1.8921926e-02
    371       1.1198160e+00       1.3635184e+00       1.8882384e-02
    372       1.1195680e+00       1.3628626e+00       1.8843009e-02
    373       1.1192833e+00       1.3622096e+00       1.8803804e-02
    374       1.1189627e+00       1.3615592e+00       1.8764771e-02
    375       1.1186070e+00       1.3609113e+00       1.8725912e-02
    376       1.1182176e+00       1.3602659e+00       1.8687230e-02
    377       1.1177957e+00       1.3596227e+00       1.8648726e-02
    378       1.1173424e+00       1.3589818e+00       1.8610402e-02
    379       1.1168589e+00       1.3583429e+00       1.8572260e-02
    380       1.1163468e+00       1.3577061e+00       1.8534301e-02
    381       1.1158074e+00       1.3570712e+00       1.8496526e-02
    382       1.1152424e+00       1.3564381e+00       1.8458936e-02
    383       1.1146535e+00       1.3558068e+00       1.8421532e-02
    384       1.1140425e+00       1.3551772e+00       1.8384315e-02
    385       1.1134114e+00       1.3545493e+00       1.8347285e-02
    386       1.1127618e+00       1.3539229e+00       1.8310443e-02
    387       1.1120957e+00       1.3532980e+00       1.8273789e-02
    388       1.1114158e+00       1.3526746e+00       1.8237322e-02
    389       1.1107242e+00       1.3520526e+00       1.8201043e-02
    390       1.1100226e+00       1.3514320e+00       1.8164950e-02
    391       1.1093128e+00       1.3508128e+00       1.8129044e-02
    392       1.1085965e+00       1.3501949e+00       1.8093323e-02
    393       1.1078752e+00       1.3495783e+00       1.8057787e-02
    394       1.1071509e+00       1.3489630e+00       1.8022435e-02
    395       1.1064256e+00       1.3483490e+00       1.7987266e-02
    396       1.1057014e+00       1.3477362e+00       1.7952277e-02
    397       1.1049802e+00       1.3471248e+00       1.7917468e-02
    398       1.1042638e+00       1.3465146e+00       1.7882837e-02
    399       1.1035541e+00       1.3459056e+00       1.7848382e-02
    400       1.1028522e+00       1.3452980e+00       1.7814101e-02
    401       1.1021597e+00       1.3446917e+00       1.7779992e-02
    402       1.1014784e+00       1.3440867e+00       1.7746054e-02
    403       1.1008097e+00       1.3434830e+00       1.7712284e-02
    404       1.1001548e+00       1.3428807e+00       1.7678679e-02
    405       1.0995151e+00       1.3422798e+00       1.7645237e-02
    406       1.0988920e+00       1.3416803e+00       1.7611956e-02
    407       1.0982871e+00       1.3410823e+00       1.7578834e-02
    408       1.0977020e+00       1.3404858e+00       1.7545867e-02
    409       1.0971379e+00       1.3398908e+00       1.7513052e-02
    410       1.0965954e+00       1.3392974e+00       1.7480388e-02
    411       1.0960753e+00       1.3387056e+00       1.7447871e-02
    412       1.0955789e+00       1.3381155e+00       1.7415498e-02
    413       1.0951074e+00       1.3375271e+00       1.7383266e-02
    414       1.0946613e+00       1.3369405e+00       1.7351174e-02
    415       1.0942415e+00       1.3363556e+00       1.7319216e-02
    416       1.0938488e+00       1.3357727e+00       1.7287392e-02
    417       1.0934840e+00       1.3351917e+00       1.7255696e-02
    418       1.0931483e+00       1.3346126e+00       1.7224128e-02
    419       1.0928423e+00       1.3340356e+00       1.7192682e-02
    420       1.0925670e+00       1.3334607e+00       1.7161358e-02
    421       1.0923237e+00       1.3328879e+00       1.7130150e-02
    422       1.0921125e+00       1.3323173e+00       1.7099056e-02
    423       1.0919340e+00       1.3317491e+00       1.7068074e-02
    424       1.0917894e+00       1.3311831e+00       1.7037199e-02
    425       1.0916797e+00       1.3306196e+00       1.7006429e-02
    426       1.0916055e+00       1.3300585e+00       1.6975761e-02
    427       1.0915676e+00       1.3295000e+00       1.6945190e-02
    428       1.0915669e+00       1.3289441e+00       1.6914715e-02
    429       1.0916042e+00       1.3283908e+00       1.6884332e-02
    430       1.0916810e+00       1.3278403e+00       1.6854038e-02
    431       1.0917983e+00       1.3272927e+00       1.6823829e-02
    432       1.0919572e+00       1.3267479e+00       1.6793702e-02
    433       1.0921585e+00       1.3262061e+00       1.6763654e-02
    434       1.0924032e+00       1.3256674e+00       1.6733682e-02
    435       1.0926923e+00       1.3251319e+00       1.6703783e-02
    436       1.0930266e+00       1.3245995e+00       1.6673952e-02
    437       1.0934070e+00       1.3240705e+00       1.6644188e-02
    438       1.0938344e+00       1.3235448e+00       1.6614486e-02
    439       1.0943098e+00       1.3230226e+00       1.6584843e-02
    440       1.0948349e+00       1.3225040e+00       1.6555257e-02
    441       1.0954107e+00       1.3219891e+00       1.6525723e-02
    442       1.0960373e+00       1.3214779e+00       1.6496240e-02
    443       1.0967150e+00       1.3209705e+00       1.6466803e-02
    444       1.0974442e+00       1.3204671e+00       1.6437409e-02
    445       1.0982257e+00       1.3199676e+00       1.6408056e-02
    446       1.0990599e+00       1.3194723e+00       1.6378741e-02
    447       1.0999472e+00       1.3189812e+00       1.6349461e-02
    448       1.1008875e+00       1.3184944e+00       1.6320212e-02
    449       1.1018809e+00       1.3180120e+00       1.6290994e-02
