#BLOCK:           ACTUAL_P:              P_AVE:              ERROR:
    307       8.9565139e-01       1.1197715e+00       1.5704602e-02
    308       8.9582822e-01       1.1190444e+00       1.5670435e-02
    309       8.9600735e-01       1.1183226e+00       1.5636336e-02
    310       8.9618019e-01       1.1176060e+00       1.5602308e-02
    311       8.9634290e-01       1.1168945e+00       1.5568352e-02
    312       8.9650499e-01       1.1161882e+00       1.5534471e-02
    313       8.9667624e-01       1.1154869e+00       1.5500662e-02
    314       8.9683761e-01       1.1147905e+00       1.5466930e-02
    315       8.9699619e-01       1.1140991e+00       1.5433275e-02
    316       8.9715498e-01       1.1134126e+00       1.5399698e-02
    317       8.9731499e-01       1.1127309e+00       1.5366199e-02
    318       8.9748127e-01       1.1120540e+00       1.5332779e-02
    319       8.9764808e-01       1.1113819e+00       1.5299438e-02
    320       8.9781607e-01       1.1107145e+00       1.5266177e-02
    321       8.9799471e-01       1.1100518e+00       1.5232995e-02
    322       8.9816720e-01       1.1093938e+00       1.5199893e-02
    323       8.9834565e-01       1.1087404e+00       1.5166872e-02
    324       8.9853297e-01       1.1080916e+00       1.5133931e-02
    325       8.9872992e-01       1.1074474e+00       1.5101069e-02
    326       8.9893497e-01       1.1068078e+00       1.5068286e-02
    327       8.9915077e-01       1.1061728e+00       1.5035581e-02
    328       8.9937528e-01       1.1055423e+00       1.5002954e-02
    329       8.9960654e-01       1.1049163e+00       1.4970404e-02
    330       8.9984946e-01       1.1042949e+00       1.4937931e-02
    331       9.0009965e-01       1.1036780e+00       1.4905534e-02
    332       9.0036401e-01       1.1030656e+00       1.4873213e-02
    333       9.0063141e-01       1.1024577e+00       1.4840967e-02
    334       9.0091038e-01       1.1018543e+00       1.4808795e-02
    335       9.0120283e-01       1.1012553e+00       1.4776698e-02
    336       9.0149483e-01       1.1006608e+00       1.4744675e-02
    337       9.0180164e-01       1.1000707e+00       1.4712725e-02
    338       9.0211585e-01       1.0994850e+00       1.4680848e-02
    339       9.0243404e-01       1.0989038e+00       1.4649045e-02
    340       9.0276003e-01       1.0983269e+00       1.4617314e-02
    341       9.0309513e-01       1.0977543e+00       1.4585656e-02
    342       9.0343362e-01       1.0971862e+00       1.4554071e-02
    343       9.0376985e-01       1.0966223e+00       1.4522559e-02
    344       9.0410475e-01       1.0960626e+00       1.4491122e-02
    345       9.0444128e-01       1.0955072e+00       1.4459759e-02
    346       9.0477548e-01       1.0949559e+00       1.4428472e-02
    347       9.0510813e-01       1.0944088e+00       1.4397260e-02
    348       9.0543572e-01       1.0938658e+00       1.4366126e-02
    349       9.0575424e-01       1.0933268e+00       1.4335070e-02
    350       9.0606445e-01       1.0927918e+00       1.4304094e-02
    351       9.0636484e-01       1.0922606e+00       1.4273199e-02
    352       9.0664907e-01       1.0917333e+00       1.4242387e-02
    353       9.0692662e-01       1.0912098e+00       1.4211659e-02
    354       9.0718700e-01       1.0906900e+00       1.4181017e-02
    355       9.0742883e-01       1.0901737e+00       1.4150464e-02
    356       9.0765489e-01       1.0896610e+00       1.4120000e-02
    357       9.0786154e-01       1.0891518e+00       1.4089628e-02
    358       9.0805186e-01       1.0886459e+00       1.4059350e-02
    359       9.0821555e-01       1.0881433e+00       1.4029168e-02
    360       9.0836057e-01       1.0876439e+00       1.3999084e-02
    361       9.0847707e-01       1.0871476e+00       1.3969100e-02
    362       9.0857062e-01       1.0866543e+00       1.3939219e-02
    363       9.0863345e-01       1.0861639e+00       1.3909443e-02
    364       9.0867220e-01       1.0856763e+00       1.3879775e-02
    365       9.0868629e-01       1.0851914e+00       1.3850216e-02
    366       9.0867704e-01       1.0847091e+00       1.3820768e-02
    367       9.0863096e-01       1.0842293e+00       1.3791434e-02
    368       9.0856104e-01       1.0837520e+00       1.3762216e-02
    369       9.0845833e-01       1.0832769e+00       1.3733117e-02
    370       9.0833180e-01       1.0828041e+00       1.3704138e-02
    371       9.0817702e-01       1.0823334e+00       1.3675280e-02
    372       9.0799215e-01       1.0818647e+00       1.3646547e-02
    373       9.0778427e-01       1.0813980e+00       1.3617939e-02
    374       9.0754499e-01       1.0809332e+00       1.3589459e-02
    375       9.0728159e-01       1.0804701e+00       1.3561108e-02
    376       9.0699279e-01       1.0800088e+00       1.3532887e-02
    377       9.0667522e-01       1.0795490e+00       1.3504799e-02
    378       9.0633628e-01       1.0790907e+00       1.3476844e-02
    379       9.0597685e-01       1.0786340e+00       1.3449023e-02
    380       9.0559369e-01       1.0781786e+00       1.3421338e-02
    381       9.0519229e-01       1.0777246e+00       1.3393789e-02
    382       9.0477162e-01       1.0772718e+00       1.3366377e-02
    383       9.0433076e-01       1.0768203e+00       1.3339103e-02
    384       9.0387554e-01       1.0763699e+00       1.3311966e-02
    385       9.0340069e-01       1.0759206e+00       1.3284969e-02
    386       9.0291411e-01       1.0754724e+00       1.3258110e-02
    387       9.0242854e-01       1.0750253e+00       1.3231390e-02
    388       9.0192139e-01       1.0745791e+00       1.3204808e-02
    389       9.0140098e-01       1.0741340e+00       1.3178365e-02
    390       9.0087755e-01       1.0736897e+00       1.3152060e-02
    391       9.0034793e-01       1.0732464e+00       1.3125892e-02
    392       8.9981108e-01       1.0728039e+00       1.3099863e-02
    393       8.9927273e-01       1.0723624e+00       1.3073969e-02
    394       8.9872764e-01       1.0719217e+00       1.3048212e-02
    395       8.9818170e-01       1.0714818e+00       1.3022590e-02
    396       8.9764095e-01       1.0710428e+00       1.2997102e-02
    397       8.9709796e-01       1.0706047e+00       1.2971747e-02
    398       8.9655859e-01       1.0701674e+00       1.2946523e-02
    399       8.9602860e-01       1.0697310e+00       1.2921430e-02
    400       8.9550447e-01       1.0692954e+00       1.2896466e-02
    401       8.9497843e-01       1.0688607e+00       1.2871629e-02
    402       8.9446959e-01       1.0684269e+00       1.2846918e-02
    403       8.9396793e-01       1.0679940e+00       1.2822332e-02
    404       8.9347659e-01       1.0675620e+00       1.2797868e-02
    405       8.9299881e-01       1.0671310e+00       1.2773524e-02
    406       8.9252898e-01       1.0667009e+00       1.2749300e-02
    407       8.9207934e-01       1.0662719e+00       1.2725192e-02
    408       8.9164009e-01       1.0658439e+00       1.2701199e-02
    409       8.9121881e-01       1.0654169e+00       1.2677319e-02
    410       8.9080921e-01       1.0649910e+00       1.2653550e-02
    411       8.9042076e-01       1.0645663e+00       1.2629889e-02
    412       8.9004563e-01       1.0641427e+00       1.2606336e-02
    413       8.8969127e-01       1.0637203e+00       1.2582886e-02
    414       8.8935586e-01       1.0632991e+00       1.2559540e-02
    415       8.8904015e-01       1.0628792e+00       1.2536293e-02
    416       8.8874686e-01       1.0624606e+00       1.2513144e-02
    417       8.8847664e-01       1.0620434e+00       1.2490090e-02
    418       8.8822367e-01       1.0616276e+00       1.2467130e-02
    419       8.8799509e-01       1.0612132e+00       1.2444261e-02
    420       8.8779170e-01       1.0608003e+00       1.2421480e-02
    421       8.8760770e-01       1.0603889e+00       1.2398786e-02
    422       8.8744993e-01       1.0599791e+00       1.2376175e-02
    423       8.8730986e-01       1.0595709e+00       1.2353647e-02
    424       8.8719951e-01       1.0591643e+00       1.2331199e-02
    425       8.8711522e-01       1.0587595e+00       1.2308827e-02
    426       8.8705515e-01       1.0583565e+00       1.2286531e-02
    427       8.8702660e-01       1.0579552e+00       1.2264307e-02
    428       8.8702136e-01       1.0575558e+00       1.2242153e-02
    429       8.8704894e-01       1.0571584e+00       1.2220066e-02
    430       8.8710812e-01       1.0567629e+00       1.2198045e-02
    431       8.8719089e-01       1.0563695e+00       1.2176087e-02
    432       8.8730468e-01       1.0559781e+00       1.2154189e-02
    433       8.8745227e-01       1.0555889e+00       1.2132349e-02
    434       8.8763006e-01       1.0552019e+00       1.2110565e-02
    435       8.8784768e-01       1.0548172e+00       1.2088834e-02
    436       8.8809897e-01       1.0544348e+00       1.2067154e-02
