#BLOCK:          ACTUAL_PE:             PE_AVE:              ERROR:
    129      -5.5213677e+00      -6.1173996e+00       2.2041864e-02
    130      -5.5068183e+00      -6.1127028e+00       2.2367120e-02
    131      -5.4924363e+00      -6.1079679e+00       2.2692002e-02
    132      -5.4782300e+00      -6.1031972e+00       2.3016128e-02
    133      -5.4634520e+00      -6.0983871e+00       2.3340293e-02
    134      -5.4488651e+00      -6.0935399e+00       2.3664077e-02
    135      -5.4341748e+00      -6.0886557e+00       2.3987532e-02
    136      -5.4201451e+00      -6.0837402e+00       2.4309580e-02
    137      -5.4060276e+00      -6.0787934e+00       2.4630314e-02
    138      -5.3921323e+00      -6.0738176e+00       2.4949376e-02
    139      -5.3781647e+00      -6.0688129e+00       2.5266855e-02
    140      -5.3641327e+00      -6.0637795e+00       2.5582822e-02
    141      -5.3498919e+00      -6.0587164e+00       2.5897544e-02
    142      -5.3360529e+00      -6.0536272e+00       2.6210440e-02
    143      -5.3227745e+00      -6.0485164e+00       2.6520761e-02
    144      -5.3094589e+00      -6.0433840e+00       2.6828604e-02
    145      -5.2959618e+00      -6.0382294e+00       2.7134246e-02
    146      -5.2822900e+00      -6.0330517e+00       2.7437941e-02
    147      -5.2689034e+00      -6.0278534e+00       2.7739342e-02
    148      -5.2555060e+00      -6.0226349e+00       2.8038498e-02
    149      -5.2425577e+00      -6.0173995e+00       2.8334890e-02
    150      -5.2302162e+00      -6.0121516e+00       2.8627845e-02
    151      -5.2175814e+00      -6.0068895e+00       2.8917820e-02
    152      -5.2055659e+00      -6.0016177e+00       2.9204161e-02
    153      -5.1934202e+00      -5.9963353e+00       2.9487139e-02
    154      -5.1813020e+00      -5.9910429e+00       2.9766824e-02
    155      -5.1696709e+00      -5.9857437e+00       3.0042764e-02
    156      -5.1577767e+00      -5.9804362e+00       3.0315379e-02
    157      -5.1462298e+00      -5.9751228e+00       3.0584387e-02
    158      -5.1353396e+00      -5.9698077e+00       3.0849197e-02
    159      -5.1242045e+00      -5.9644895e+00       3.1110222e-02
    160      -5.1132832e+00      -5.9591694e+00       3.1367364e-02
    161      -5.1027331e+00      -5.9538500e+00       3.1620375e-02
    162      -5.0921061e+00      -5.9485306e+00       3.1869481e-02
    163      -5.0821636e+00      -5.9432154e+00       3.2114129e-02
    164      -5.0723068e+00      -5.9379050e+00       3.2354399e-02
    165      -5.0625408e+00      -5.9325998e+00       3.2590367e-02
    166      -5.0530220e+00      -5.9273011e+00       3.2821951e-02
    167      -5.0437555e+00      -5.9220104e+00       3.3049075e-02
    168      -5.0342931e+00      -5.9167264e+00       3.3272090e-02
    169      -5.0256982e+00      -5.9114540e+00       3.3490342e-02
    170      -5.0170683e+00      -5.9061929e+00       3.3704047e-02
    171      -5.0091637e+00      -5.9009471e+00       3.3912724e-02
    172      -5.0015354e+00      -5.8957180e+00       3.4116325e-02
    173      -4.9941870e+00      -5.8905068e+00       3.4314808e-02
    174      -4.9866691e+00      -5.8853124e+00       3.4508518e-02
    175      -4.9795891e+00      -5.8801368e+00       3.4697269e-02
    176      -4.9729503e+00      -5.8749823e+00       3.4880887e-02
    177      -4.9664532e+00      -5.8698494e+00       3.5059456e-02
    178      -4.9605535e+00      -5.8647410e+00       3.5232692e-02
    179      -4.9543473e+00      -5.8596550e+00       3.5401052e-02
    180      -4.9488948e+00      -5.8545952e+00       3.5564132e-02
    181      -4.9440456e+00      -5.8495646e+00       3.5721674e-02
    182      -4.9391966e+00      -5.8445625e+00       3.5873903e-02
    183      -4.9346495e+00      -5.8395903e+00       3.6020802e-02
    184      -4.9305553e+00      -5.8346499e+00       3.6162248e-02
    185      -4.9266114e+00      -5.8297416e+00       3.6298352e-02
    186      -4.9228167e+00      -5.8248657e+00       3.6429219e-02
    187      -4.9191682e+00      -5.8200224e+00       3.6554954e-02
    188      -4.9161169e+00      -5.8152144e+00       3.6675344e-02
    189      -4.9133578e+00      -5.8104426e+00       3.6790403e-02
    190      -4.9108871e+00      -5.8057081e+00       3.6900150e-02
    191      -4.9083989e+00      -5.8010102e+00       3.7004808e-02
    192      -4.9061908e+00      -5.7963497e+00       3.7104395e-02
    193      -4.9044080e+00      -5.7917282e+00       3.7198839e-02
    194      -4.9028944e+00      -5.7871466e+00       3.7288174e-02
    195      -4.9014915e+00      -5.7826048e+00       3.7372533e-02
    196      -4.9006459e+00      -5.7781050e+00       3.7451773e-02
    197      -4.8997457e+00      -5.7736463e+00       3.7526129e-02
    198      -4.8990853e+00      -5.7692293e+00       3.7595652e-02
    199      -4.8988071e+00      -5.7648553e+00       3.7660310e-02
    200      -4.8990533e+00      -5.7605263e+00       3.7719995e-02
    201      -4.8992107e+00      -5.7562412e+00       3.7774955e-02
    202      -4.8997227e+00      -5.7520010e+00       3.7825180e-02
    203      -4.9004285e+00      -5.7478061e+00       3.7870751e-02
    204      -4.9011669e+00      -5.7436559e+00       3.7911834e-02
    205      -4.9025322e+00      -5.7395528e+00       3.7948277e-02
    206      -4.9031551e+00      -5.7354926e+00       3.7980645e-02
    207      -4.9043838e+00      -5.7314776e+00       3.8008790e-02
    208      -4.9057544e+00      -5.7275078e+00       3.8032804e-02
    209      -4.9075591e+00      -5.7235846e+00       3.8052636e-02
    210      -4.9088805e+00      -5.7197051e+00       3.8068683e-02
    211      -4.9106151e+00      -5.7158705e+00       3.8080894e-02
    212      -4.9126015e+00      -5.7120815e+00       3.8089302e-02
    213      -4.9143754e+00      -5.7083364e+00       3.8094151e-02
    214      -4.9165319e+00      -5.7046364e+00       3.8095405e-02
    215      -4.9186071e+00      -5.7009804e+00       3.8093241e-02
    216      -4.9208935e+00      -5.6973689e+00       3.8087698e-02
    217      -4.9233819e+00      -5.6938022e+00       3.8078818e-02
    218      -4.9256104e+00      -5.6902783e+00       3.8066843e-02
    219      -4.9278718e+00      -5.6867970e+00       3.8051876e-02
    220      -4.9303093e+00      -5.6833585e+00       3.8033960e-02
    221      -4.9329154e+00      -5.6799628e+00       3.8013141e-02
    222      -4.9355313e+00      -5.6766095e+00       3.7989527e-02
    223      -4.9375460e+00      -5.6732953e+00       3.7963459e-02
    224      -4.9401620e+00      -5.6700224e+00       3.7934800e-02
    225      -4.9424656e+00      -5.6667888e+00       3.7903766e-02
    226      -4.9449040e+00      -5.6635946e+00       3.7870400e-02
    227      -4.9470189e+00      -5.6604379e+00       3.7834907e-02
    228      -4.9492586e+00      -5.6573187e+00       3.7797323e-02
    229      -4.9516194e+00      -5.6542370e+00       3.7757686e-02
    230      -4.9537943e+00      -5.6511916e+00       3.7716138e-02
    231      -4.9556287e+00      -5.6481805e+00       3.7672869e-02
    232      -4.9577237e+00      -5.6452044e+00       3.7627857e-02
    233      -4.9599252e+00      -5.6422633e+00       3.7581131e-02
    234      -4.9620809e+00      -5.6393566e+00       3.7532773e-02
    235      -4.9638862e+00      -5.6364822e+00       3.7482960e-02
    236      -4.9660949e+00      -5.6336416e+00       3.7431616e-02
    237      -4.9681013e+00      -5.6308334e+00       3.7378866e-02
    238      -4.9700545e+00      -5.6280570e+00       3.7324780e-02
    239      -4.9716514e+00      -5.6253105e+00       3.7269519e-02
    240      -4.9736478e+00      -5.6225953e+00       3.7213008e-02
    241      -4.9749868e+00      -5.6199081e+00       3.7155491e-02
    242      -4.9765739e+00      -5.6172497e+00       3.7096936e-02
    243      -4.9779562e+00      -5.6146189e+00       3.7037443e-02
    244      -4.9795880e+00      -5.6120163e+00       3.6976978e-02
    245      -4.9810158e+00      -5.6094408e+00       3.6915637e-02
    246      -4.9822410e+00      -5.6068912e+00       3.6853513e-02
    247      -4.9835674e+00      -5.6043676e+00       3.6790609e-02
    248      -4.9851481e+00      -5.6018708e+00       3.6726888e-02
    249      -4.9866826e+00      -5.5994001e+00       3.6662397e-02
    250      -4.9878697e+00      -5.5969540e+00       3.6597259e-02
    251      -4.9891638e+00      -5.5945325e+00       3.6531475e-02
    252      -4.9905669e+00      -5.5921358e+00       3.6465042e-02
    253      -4.9916280e+00      -5.5897623e+00       3.6398078e-02
    254      -4.9924999e+00      -5.5874109e+00       3.6330654e-02
    255      -4.9934866e+00      -5.5850817e+00       3.6262762e-02
    256      -4.9941366e+00      -5.5827734e+00       3.6194509e-02
    257      -4.9953590e+00      -5.5804877e+00       3.6125771e-02
    258      -4.9960978e+00      -5.5782226e+00       3.6056689e-02
    259      -4.9965069e+00      -5.5759766e+00       3.5987358e-02
    260      -4.9974946e+00      -5.5737517e+00       3.5917658e-02
    261      -4.9984581e+00      -5.5715475e+00       3.5847612e-02
    262      -4.9992481e+00      -5.5693631e+00       3.5777278e-02
    263      -5.0003196e+00      -5.5671995e+00       3.5706608e-02
    264      -5.0009201e+00      -5.5650545e+00       3.5635725e-02
    265      -5.0021094e+00      -5.5629302e+00       3.5564512e-02
    266      -5.0025274e+00      -5.5608234e+00       3.5493157e-02
    267      -5.0030822e+00      -5.5587345e+00       3.5421641e-02
    268      -5.0039270e+00      -5.5566643e+00       3.5349914e-02
    269      -5.0046096e+00      -5.5546120e+00       3.5278023e-02
    270      -5.0051316e+00      -5.5525769e+00       3.5206015e-02
    271      -5.0054937e+00      -5.5505582e+00       3.5133935e-02
    272      -5.0061497e+00      -5.5485567e+00       3.5061730e-02
    273      -5.0066477e+00      -5.5465717e+00       3.4989445e-02
    274      -5.0071393e+00      -5.5446029e+00       3.4917089e-02
    275      -5.0079265e+00      -5.5426514e+00       3.4844612e-02
    276      -5.0084061e+00      -5.5407157e+00       3.4772087e-02
    277      -5.0088798e+00      -5.5387957e+00       3.4699522e-02
    278      -5.0094995e+00      -5.5368918e+00       3.4626899e-02
    279      -5.0101136e+00      -5.5350037e+00       3.4554225e-02
    280      -5.0110251e+00      -5.5331323e+00       3.4481454e-02
    281      -5.0116293e+00      -5.5312764e+00       3.4408652e-02
    282      -5.0122276e+00      -5.5294359e+00       3.4335829e-02
    283      -5.0128196e+00      -5.5276104e+00       3.4262994e-02
    284      -5.0132539e+00      -5.5257992e+00       3.4190183e-02
    285      -5.0139840e+00      -5.5240034e+00       3.4117348e-02
    286      -5.0147069e+00      -5.5222226e+00       3.4044498e-02
    287      -5.0155738e+00      -5.5204573e+00       3.3971615e-02
    288      -5.0159799e+00      -5.5187057e+00       3.3898788e-02
    289      -5.0162276e+00      -5.5169670e+00       3.3826050e-02
    290      -5.0166174e+00      -5.5152416e+00       3.3753381e-02
