         # DISTANCE:           AVE_GOFR:              ERROR:
       1.7570003e+00       8.1935779e-01       1.4322106e-03
       1.7826499e+00       8.5795047e-01       1.4260845e-03
       1.8082996e+00       8.9864859e-01       1.4133311e-03
       1.8339492e+00       9.4099023e-01       1.3713830e-03
       1.8595988e+00       9.7992624e-01       1.3246812e-03
       1.8852485e+00       1.0213804e+00       1.5449280e-03
       1.9108981e+00       1.0622794e+00       1.2093401e-03
       1.9365478e+00       1.0992992e+00       1.2735775e-03
       1.9621974e+00       1.1331385e+00       9.1554957e-04
       1.9878470e+00       1.1631364e+00       1.2396374e-03
       2.0134967e+00       1.1864002e+00       1.2015645e-03
       2.0391463e+00       1.2027201e+00       1.1444240e-03
       2.0647960e+00       1.2120621e+00       1.1781242e-03
       2.0904456e+00       1.2124121e+00       1.2394780e-03
       2.1160952e+00       1.2048806e+00       1.0829015e-03
       2.1417449e+00       1.1919694e+00       1.2132148e-03
       2.1673945e+00       1.1714820e+00       1.2893900e-03
       2.1930442e+00       1.1470442e+00       1.2580938e-03
       2.2186938e+00       1.1205509e+00       8.8503147e-04
       2.2443434e+00       1.0918327e+00       9.3591547e-04
       2.2699931e+00       1.0621558e+00       9.6263176e-04
       2.2956427e+00       1.0329339e+00       8.1057787e-04
       2.3212923e+00       1.0074763e+00       1.3796842e-03
       2.3469420e+00       9.8398501e-01       1.0024839e-03
       2.3725916e+00       9.6187914e-01       1.1646918e-03
       2.3982413e+00       9.4080778e-01       1.3075001e-03
       2.4238909e+00       9.2380062e-01       1.1519482e-03
       2.4495405e+00       9.1162040e-01       1.0915172e-03
       2.4751902e+00       9.0233312e-01       6.6685322e-04
       2.5008398e+00       8.9614616e-01       8.6504015e-04
       2.5264895e+00       8.9210368e-01       6.8087329e-04
       2.5521391e+00       8.9282142e-01       8.1880794e-04
