#BLOCK:           ACTUAL_T:              T_AVE:              ERROR:
    185       5.9622276e-01       8.5037232e-01       3.0047513e-02
    186       5.9894005e-01       8.4902053e-01       2.9916359e-02
    187       6.0158553e-01       8.4769735e-01       2.9785626e-02
    188       6.0415912e-01       8.4640193e-01       2.9655348e-02
    189       6.0666053e-01       8.4513346e-01       2.9525557e-02
    190       6.0908914e-01       8.4389112e-01       2.9396285e-02
    191       6.1144512e-01       8.4267413e-01       2.9267558e-02
    192       6.1372912e-01       8.4148170e-01       2.9139404e-02
    193       6.1594178e-01       8.4031310e-01       2.9011846e-02
    194       6.1808359e-01       8.3916759e-01       2.8884906e-02
    195       6.2015506e-01       8.3804445e-01       2.8758606e-02
    196       6.2215706e-01       8.3694298e-01       2.8632964e-02
    197       6.2409093e-01       8.3586252e-01       2.8507997e-02
    198       6.2595741e-01       8.3480239e-01       2.8383722e-02
    199       6.2775753e-01       8.3376196e-01       2.8260153e-02
    200       6.2949327e-01       8.3274062e-01       2.8137302e-02
    201       6.3116614e-01       8.3173776e-01       2.8015181e-02
    202       6.3277725e-01       8.3075281e-01       2.7893801e-02
    203       6.3432776e-01       8.2978520e-01       2.7773171e-02
    204       6.3581919e-01       8.2883438e-01       2.7653299e-02
    205       6.3725329e-01       8.2789984e-01       2.7534192e-02
    206       6.3863151e-01       8.2698106e-01       2.7415856e-02
    207       6.3995579e-01       8.2607756e-01       2.7298295e-02
    208       6.4122836e-01       8.2518886e-01       2.7181516e-02
    209       6.4245089e-01       8.2431452e-01       2.7065519e-02
    210       6.4362557e-01       8.2345409e-01       2.6950309e-02
    211       6.4475438e-01       8.2260718e-01       2.6835886e-02
    212       6.4583901e-01       8.2177336e-01       2.6722253e-02
    213       6.4688177e-01       8.2095228e-01       2.6609408e-02
    214       6.4788452e-01       8.2014355e-01       2.6497351e-02
    215       6.4884941e-01       8.1934683e-01       2.6386083e-02
    216       6.4977858e-01       8.1856179e-01       2.6275601e-02
    217       6.5067373e-01       8.1778812e-01       2.6165903e-02
    218       6.5153683e-01       8.1702549e-01       2.6056987e-02
    219       6.5237018e-01       8.1627364e-01       2.5948850e-02
    220       6.5317604e-01       8.1553229e-01       2.5841489e-02
    221       6.5395687e-01       8.1480118e-01       2.5734899e-02
    222       6.5471450e-01       8.1408007e-01       2.5629077e-02
    223       6.5545011e-01       8.1336872e-01       2.5524019e-02
    224       6.5616560e-01       8.1266692e-01       2.5419718e-02
    225       6.5686310e-01       8.1197446e-01       2.5316172e-02
    226       6.5754427e-01       8.1129114e-01       2.5213374e-02
    227       6.5821065e-01       8.1061678e-01       2.5111318e-02
    228       6.5886412e-01       8.0995120e-01       2.5010000e-02
    229       6.5950687e-01       8.0929424e-01       2.4909413e-02
    230       6.6014055e-01       8.0864574e-01       2.4809551e-02
    231       6.6076627e-01       8.0800557e-01       2.4710409e-02
    232       6.6138565e-01       8.0737359e-01       2.4611978e-02
    233       6.6200031e-01       8.0674967e-01       2.4514255e-02
    234       6.6261218e-01       8.0613370e-01       2.4417230e-02
    235       6.6322274e-01       8.0552557e-01       2.4320899e-02
    236       6.6383285e-01       8.0492517e-01       2.4225254e-02
    237       6.6444387e-01       8.0433242e-01       2.4130289e-02
    238       6.6505711e-01       8.0374723e-01       2.4035996e-02
    239       6.6567385e-01       8.0316952e-01       2.3942368e-02
    240       6.6629559e-01       8.0259921e-01       2.3849400e-02
