#BLOCK:           ACTUAL_T:              T_AVE:              ERROR:
    169       9.5040937e-01       9.5013634e-01       9.4265078e-06
    170       9.5041433e-01       9.5013798e-01       9.5118264e-06
    171       9.5041931e-01       9.5013962e-01       9.5974336e-06
    172       9.5042433e-01       9.5014128e-01       9.6833281e-06
    173       9.5042938e-01       9.5014294e-01       9.7695086e-06
    174       9.5043446e-01       9.5014462e-01       9.8559739e-06
    175       9.5043957e-01       9.5014631e-01       9.9427225e-06
    176       9.5044471e-01       9.5014800e-01       1.0029753e-05
    177       9.5044989e-01       9.5014971e-01       1.0117065e-05
    178       9.5045509e-01       9.5015142e-01       1.0204657e-05
    179       9.5046032e-01       9.5015315e-01       1.0292530e-05
    180       9.5046559e-01       9.5015488e-01       1.0380683e-05
    181       9.5047089e-01       9.5015663e-01       1.0469115e-05
    182       9.5047621e-01       9.5015839e-01       1.0557827e-05
    183       9.5048158e-01       9.5016015e-01       1.0646821e-05
    184       9.5048698e-01       9.5016193e-01       1.0736101e-05
    185       9.5049241e-01       9.5016371e-01       1.0825665e-05
    186       9.5049787e-01       9.5016551e-01       1.0915515e-05
    187       9.5050337e-01       9.5016732e-01       1.1005649e-05
    188       9.5050889e-01       9.5016913e-01       1.1096067e-05
    189       9.5051445e-01       9.5017096e-01       1.1186768e-05
    190       9.5052004e-01       9.5017280e-01       1.1277749e-05
    191       9.5052566e-01       9.5017465e-01       1.1369013e-05
    192       9.5053132e-01       9.5017650e-01       1.1460562e-05
    193       9.5053701e-01       9.5017837e-01       1.1552396e-05
    194       9.5054273e-01       9.5018025e-01       1.1644517e-05
    195       9.5054849e-01       9.5018214e-01       1.1736924e-05
    196       9.5055428e-01       9.5018404e-01       1.1829617e-05
    197       9.5056010e-01       9.5018595e-01       1.1922595e-05
    198       9.5056595e-01       9.5018786e-01       1.2015858e-05
    199       9.5057183e-01       9.5018979e-01       1.2109405e-05
    200       9.5057775e-01       9.5019173e-01       1.2203234e-05
    201       9.5058370e-01       9.5019368e-01       1.2297346e-05
    202       9.5058968e-01       9.5019564e-01       1.2391741e-05
    203       9.5059570e-01       9.5019762e-01       1.2486418e-05
    204       9.5060174e-01       9.5019960e-01       1.2581376e-05
    205       9.5060782e-01       9.5020159e-01       1.2676615e-05
    206       9.5061393e-01       9.5020359e-01       1.2772135e-05
    207       9.5062008e-01       9.5020560e-01       1.2867936e-05
    208       9.5062625e-01       9.5020762e-01       1.2964017e-05
    209       9.5063246e-01       9.5020966e-01       1.3060377e-05
    210       9.5063870e-01       9.5021170e-01       1.3157016e-05
    211       9.5064498e-01       9.5021375e-01       1.3253934e-05
    212       9.5065128e-01       9.5021582e-01       1.3351130e-05
    213       9.5065762e-01       9.5021789e-01       1.3448603e-05
    214       9.5066399e-01       9.5021998e-01       1.3546355e-05
    215       9.5067040e-01       9.5022207e-01       1.3644385e-05
    216       9.5067683e-01       9.5022418e-01       1.3742693e-05
    217       9.5068331e-01       9.5022629e-01       1.3841278e-05
    218       9.5068981e-01       9.5022842e-01       1.3940143e-05
    219       9.5069636e-01       9.5023055e-01       1.4039288e-05
    220       9.5070293e-01       9.5023270e-01       1.4138712e-05
    221       9.5070954e-01       9.5023486e-01       1.4238416e-05
    222       9.5071618e-01       9.5023703e-01       1.4338397e-05
    223       9.5072285e-01       9.5023921e-01       1.4438655e-05
    224       9.5072955e-01       9.5024139e-01       1.4539188e-05
    225       9.5073628e-01       9.5024359e-01       1.4639997e-05
    226       9.5074305e-01       9.5024580e-01       1.4741081e-05
    227       9.5074986e-01       9.5024802e-01       1.4842442e-05
    228       9.5075670e-01       9.5025026e-01       1.4944082e-05
    229       9.5076358e-01       9.5025250e-01       1.5046000e-05
    230       9.5077048e-01       9.5025475e-01       1.5148196e-05
    231       9.5077743e-01       9.5025701e-01       1.5250670e-05
    232       9.5078440e-01       9.5025929e-01       1.5353422e-05
    233       9.5079141e-01       9.5026157e-01       1.5456453e-05
    234       9.5079846e-01       9.5026386e-01       1.5559763e-05
    235       9.5080554e-01       9.5026617e-01       1.5663352e-05
    236       9.5081266e-01       9.5026848e-01       1.5767225e-05
    237       9.5081982e-01       9.5027081e-01       1.5871383e-05
    238       9.5082701e-01       9.5027315e-01       1.5975826e-05
    239       9.5083424e-01       9.5027550e-01       1.6080553e-05
    240       9.5084150e-01       9.5027785e-01       1.6185565e-05
    241       9.5084880e-01       9.5028022e-01       1.6290862e-05
    242       9.5085613e-01       9.5028260e-01       1.6396444e-05
    243       9.5086350e-01       9.5028499e-01       1.6502312e-05
    244       9.5087090e-01       9.5028739e-01       1.6608467e-05
    245       9.5087834e-01       9.5028981e-01       1.6714908e-05
    246       9.5088582e-01       9.5029223e-01       1.6821636e-05
    247       9.5089333e-01       9.5029466e-01       1.6928651e-05
    248       9.5090087e-01       9.5029711e-01       1.7035950e-05
    249       9.5090844e-01       9.5029956e-01       1.7143535e-05
    250       9.5091606e-01       9.5030203e-01       1.7251406e-05
    251       9.5092370e-01       9.5030451e-01       1.7359562e-05
    252       9.5093139e-01       9.5030699e-01       1.7468006e-05
    253       9.5093911e-01       9.5030949e-01       1.7576736e-05
    254       9.5094686e-01       9.5031200e-01       1.7685751e-05
    255       9.5095465e-01       9.5031452e-01       1.7795052e-05
    256       9.5096247e-01       9.5031705e-01       1.7904636e-05
    257       9.5097033e-01       9.5031959e-01       1.8014504e-05
    258       9.5097822e-01       9.5032215e-01       1.8124656e-05
    259       9.5098615e-01       9.5032471e-01       1.8235094e-05
    260       9.5099411e-01       9.5032728e-01       1.8345816e-05
    261       9.5100211e-01       9.5032987e-01       1.8456821e-05
    262       9.5101015e-01       9.5033247e-01       1.8568111e-05
    263       9.5101821e-01       9.5033507e-01       1.8679682e-05
    264       9.5102632e-01       9.5033769e-01       1.8791537e-05
    265       9.5103445e-01       9.5034032e-01       1.8903674e-05
    266       9.5104263e-01       9.5034296e-01       1.9016094e-05
    267       9.5105084e-01       9.5034561e-01       1.9128798e-05
    268       9.5105909e-01       9.5034828e-01       1.9241787e-05
    269       9.5106738e-01       9.5035095e-01       1.9355061e-05
    270       9.5107570e-01       9.5035363e-01       1.9468619e-05
    271       9.5108406e-01       9.5035633e-01       1.9582463e-05
    272       9.5109245e-01       9.5035903e-01       1.9696591e-05
    273       9.5110088e-01       9.5036175e-01       1.9811003e-05
    274       9.5110934e-01       9.5036448e-01       1.9925699e-05
    275       9.5111784e-01       9.5036722e-01       2.0040677e-05
    276       9.5112638e-01       9.5036997e-01       2.0155938e-05
    277       9.5113495e-01       9.5037273e-01       2.0271482e-05
    278       9.5114355e-01       9.5037551e-01       2.0387308e-05
    279       9.5115219e-01       9.5037829e-01       2.0503417e-05
    280       9.5116088e-01       9.5038108e-01       2.0619809e-05
    281       9.5116959e-01       9.5038389e-01       2.0736485e-05
    282       9.5117835e-01       9.5038671e-01       2.0853444e-05
    283       9.5118714e-01       9.5038954e-01       2.0970689e-05
    284       9.5119597e-01       9.5039238e-01       2.1088220e-05
    285       9.5120484e-01       9.5039523e-01       2.1206035e-05
    286       9.5121374e-01       9.5039809e-01       2.1324136e-05
    287       9.5122268e-01       9.5040096e-01       2.1442522e-05
    288       9.5123166e-01       9.5040385e-01       2.1561193e-05
    289       9.5124067e-01       9.5040674e-01       2.1680147e-05
    290       9.5124972e-01       9.5040965e-01       2.1799386e-05
    291       9.5125880e-01       9.5041257e-01       2.1918909e-05
    292       9.5126792e-01       9.5041550e-01       2.2038714e-05
    293       9.5127707e-01       9.5041844e-01       2.2158800e-05
    294       9.5128626e-01       9.5042139e-01       2.2279169e-05
    295       9.5129549e-01       9.5042435e-01       2.2399820e-05
    296       9.5130476e-01       9.5042732e-01       2.2520753e-05
    297       9.5131406e-01       9.5043031e-01       2.2641968e-05
    298       9.5132340e-01       9.5043331e-01       2.2763465e-05
    299       9.5133277e-01       9.5043632e-01       2.2885243e-05
    300       9.5134219e-01       9.5043934e-01       2.3007303e-05
    301       9.5135163e-01       9.5044237e-01       2.3129645e-05
    302       9.5136112e-01       9.5044541e-01       2.3252267e-05
    303       9.5137064e-01       9.5044846e-01       2.3375170e-05
    304       9.5138020e-01       9.5045153e-01       2.3498354e-05
    305       9.5138980e-01       9.5045460e-01       2.3621818e-05
    306       9.5139943e-01       9.5045769e-01       2.3745564e-05
    307       9.5140910e-01       9.5046079e-01       2.3869592e-05
    308       9.5141881e-01       9.5046390e-01       2.3993900e-05
    309       9.5142856e-01       9.5046702e-01       2.4118490e-05
    310       9.5143835e-01       9.5047016e-01       2.4243362e-05
    311       9.5144817e-01       9.5047330e-01       2.4368517e-05
    312       9.5145804e-01       9.5047646e-01       2.4493955e-05
    313       9.5146794e-01       9.5047962e-01       2.4619677e-05
    314       9.5147788e-01       9.5048280e-01       2.4745685e-05
    315       9.5148787e-01       9.5048599e-01       2.4871977e-05
    316       9.5149789e-01       9.5048920e-01       2.4998556e-05
    317       9.5150795e-01       9.5049241e-01       2.5125422e-05
    318       9.5151805e-01       9.5049564e-01       2.5252574e-05
    319       9.5152819e-01       9.5049887e-01       2.5380013e-05
    320       9.5153837e-01       9.5050212e-01       2.5507739e-05
    321       9.5154858e-01       9.5050538e-01       2.5635751e-05
    322       9.5155884e-01       9.5050865e-01       2.5764050e-05
    323       9.5156913e-01       9.5051194e-01       2.5892636e-05
    324       9.5157946e-01       9.5051523e-01       2.6021508e-05
    325       9.5158983e-01       9.5051854e-01       2.6150667e-05
    326       9.5160023e-01       9.5052185e-01       2.6280113e-05
    327       9.5161068e-01       9.5052518e-01       2.6409845e-05
    328       9.5162116e-01       9.5052853e-01       2.6539863e-05
    329       9.5163168e-01       9.5053188e-01       2.6670167e-05
    330       9.5164225e-01       9.5053524e-01       2.6800759e-05
    331       9.5165285e-01       9.5053862e-01       2.6931637e-05
    332       9.5166348e-01       9.5054201e-01       2.7062802e-05
    333       9.5167416e-01       9.5054541e-01       2.7194255e-05
    334       9.5168488e-01       9.5054882e-01       2.7325994e-05
    335       9.5169564e-01       9.5055224e-01       2.7458021e-05
    336       9.5170643e-01       9.5055568e-01       2.7590335e-05
    337       9.5171727e-01       9.5055912e-01       2.7722937e-05
    338       9.5172815e-01       9.5056258e-01       2.7855827e-05
    339       9.5173906e-01       9.5056605e-01       2.7989003e-05
    340       9.5175001e-01       9.5056954e-01       2.8122467e-05
    341       9.5176101e-01       9.5057303e-01       2.8256220e-05
    342       9.5177204e-01       9.5057654e-01       2.8390260e-05
    343       9.5178311e-01       9.5058005e-01       2.8524589e-05
    344       9.5179422e-01       9.5058358e-01       2.8659206e-05
    345       9.5180537e-01       9.5058712e-01       2.8794111e-05
    346       9.5181656e-01       9.5059068e-01       2.8929305e-05
    347       9.5182780e-01       9.5059424e-01       2.9064788e-05
    348       9.5183907e-01       9.5059782e-01       2.9200561e-05
    349       9.5185038e-01       9.5060141e-01       2.9336623e-05
    350       9.5186174e-01       9.5060501e-01       2.9472975e-05
    351       9.5187313e-01       9.5060862e-01       2.9609617e-05
    352       9.5188457e-01       9.5061225e-01       2.9746549e-05
    353       9.5189604e-01       9.5061588e-01       2.9883773e-05
    354       9.5190756e-01       9.5061953e-01       3.0021288e-05
    355       9.5191912e-01       9.5062319e-01       3.0159094e-05
    356       9.5193071e-01       9.5062687e-01       3.0297192e-05
    357       9.5194235e-01       9.5063055e-01       3.0435581e-05
    358       9.5195403e-01       9.5063425e-01       3.0574261e-05
    359       9.5196575e-01       9.5063796e-01       3.0713234e-05
    360       9.5197752e-01       9.5064168e-01       3.0852501e-05
    361       9.5198932e-01       9.5064541e-01       3.0992062e-05
    362       9.5200117e-01       9.5064916e-01       3.1131917e-05
    363       9.5201306e-01       9.5065291e-01       3.1272067e-05
    364       9.5202499e-01       9.5065668e-01       3.1412513e-05
    365       9.5203697e-01       9.5066047e-01       3.1553254e-05
    366       9.5204898e-01       9.5066426e-01       3.1694291e-05
    367       9.5206104e-01       9.5066807e-01       3.1835625e-05
    368       9.5207314e-01       9.5067188e-01       3.1977256e-05
    369       9.5208528e-01       9.5067571e-01       3.2119183e-05
    370       9.5209746e-01       9.5067956e-01       3.2261408e-05
    371       9.5210969e-01       9.5068341e-01       3.2403929e-05
    372       9.5212195e-01       9.5068728e-01       3.2546748e-05
    373       9.5213426e-01       9.5069116e-01       3.2689865e-05
    374       9.5214661e-01       9.5069505e-01       3.2833280e-05
    375       9.5215900e-01       9.5069895e-01       3.2976993e-05
    376       9.5217144e-01       9.5070287e-01       3.3121005e-05
    377       9.5218391e-01       9.5070680e-01       3.3265314e-05
    378       9.5219643e-01       9.5071074e-01       3.3409922e-05
    379       9.5220898e-01       9.5071469e-01       3.3554829e-05
    380       9.5222159e-01       9.5071866e-01       3.3700035e-05
    381       9.5223423e-01       9.5072263e-01       3.3845540e-05
    382       9.5224692e-01       9.5072663e-01       3.3991346e-05
    383       9.5225965e-01       9.5073063e-01       3.4137452e-05
    384       9.5227243e-01       9.5073464e-01       3.4283859e-05
    385       9.5228524e-01       9.5073867e-01       3.4430567e-05
    386       9.5229811e-01       9.5074271e-01       3.4577577e-05
    387       9.5231101e-01       9.5074676e-01       3.4724889e-05
    388       9.5232396e-01       9.5075083e-01       3.4872504e-05
    389       9.5233695e-01       9.5075491e-01       3.5020423e-05
    390       9.5234999e-01       9.5075900e-01       3.5168646e-05
    391       9.5236308e-01       9.5076310e-01       3.5317174e-05
    392       9.5237620e-01       9.5076721e-01       3.5466008e-05
    393       9.5238937e-01       9.5077134e-01       3.5615147e-05
    394       9.5240259e-01       9.5077548e-01       3.5764591e-05
    395       9.5241584e-01       9.5077963e-01       3.5914341e-05
    396       9.5242914e-01       9.5078380e-01       3.6064397e-05
    397       9.5244249e-01       9.5078798e-01       3.6214759e-05
    398       9.5245587e-01       9.5079217e-01       3.6365428e-05
    399       9.5246930e-01       9.5079637e-01       3.6516403e-05
    400       9.5248278e-01       9.5080059e-01       3.6667686e-05
    401       9.5249630e-01       9.5080482e-01       3.6819276e-05
    402       9.5250986e-01       9.5080906e-01       3.6971175e-05
    403       9.5252347e-01       9.5081331e-01       3.7123381e-05
    404       9.5253712e-01       9.5081758e-01       3.7275895e-05
    405       9.5255082e-01       9.5082186e-01       3.7428718e-05
    406       9.5256456e-01       9.5082615e-01       3.7581849e-05
    407       9.5257834e-01       9.5083046e-01       3.7735291e-05
    408       9.5259217e-01       9.5083477e-01       3.7889041e-05
    409       9.5260605e-01       9.5083910e-01       3.8043102e-05
    410       9.5261997e-01       9.5084345e-01       3.8197473e-05
    411       9.5263393e-01       9.5084780e-01       3.8352154e-05
    412       9.5264794e-01       9.5085217e-01       3.8507147e-05
    413       9.5266200e-01       9.5085656e-01       3.8662451e-05
    414       9.5267610e-01       9.5086095e-01       3.8818067e-05
    415       9.5269025e-01       9.5086536e-01       3.8973995e-05
    416       9.5270444e-01       9.5086978e-01       3.9130237e-05
    417       9.5271868e-01       9.5087421e-01       3.9286791e-05
    418       9.5273296e-01       9.5087866e-01       3.9443659e-05
    419       9.5274729e-01       9.5088312e-01       3.9600840e-05
    420       9.5276166e-01       9.5088759e-01       3.9758336e-05
    421       9.5277608e-01       9.5089208e-01       3.9916146e-05
    422       9.5279055e-01       9.5089658e-01       4.0074272e-05
    423       9.5280506e-01       9.5090109e-01       4.0232713e-05
    424       9.5281962e-01       9.5090561e-01       4.0391470e-05
    425       9.5283423e-01       9.5091015e-01       4.0550545e-05
    426       9.5284888e-01       9.5091470e-01       4.0709936e-05
    427       9.5286358e-01       9.5091927e-01       4.0869646e-05
    428       9.5287833e-01       9.5092384e-01       4.1029674e-05
    429       9.5289313e-01       9.5092843e-01       4.1190021e-05
    430       9.5290797e-01       9.5093304e-01       4.1350689e-05
    431       9.5292287e-01       9.5093765e-01       4.1511678e-05
    432       9.5293781e-01       9.5094228e-01       4.1672989e-05
    433       9.5295280e-01       9.5094693e-01       4.1834621e-05
    434       9.5296784e-01       9.5095158e-01       4.1996577e-05
    435       9.5298292e-01       9.5095625e-01       4.2158855e-05
    436       9.5299805e-01       9.5096094e-01       4.2321457e-05
    437       9.5301323e-01       9.5096563e-01       4.2484383e-05
    438       9.5302846e-01       9.5097034e-01       4.2647634e-05
    439       9.5304373e-01       9.5097507e-01       4.2811209e-05
    440       9.5305906e-01       9.5097980e-01       4.2975111e-05
    441       9.5307443e-01       9.5098455e-01       4.3139340e-05
    442       9.5308985e-01       9.5098932e-01       4.3303896e-05
    443       9.5310532e-01       9.5099409e-01       4.3468779e-05
    444       9.5312084e-01       9.5099888e-01       4.3633991e-05
    445       9.5313641e-01       9.5100369e-01       4.3799532e-05
    446       9.5315203e-01       9.5100850e-01       4.3965402e-05
    447       9.5316769e-01       9.5101333e-01       4.4131602e-05
    448       9.5318341e-01       9.5101818e-01       4.4298132e-05
    449       9.5319917e-01       9.5102303e-01       4.4464993e-05
    450       9.5321498e-01       9.5102790e-01       4.4632186e-05
    451       9.5323085e-01       9.5103279e-01       4.4799712e-05
    452       9.5324676e-01       9.5103769e-01       4.4967571e-05
    453       9.5326273e-01       9.5104260e-01       4.5135763e-05
    454       9.5327874e-01       9.5104752e-01       4.5304290e-05
    455       9.5329480e-01       9.5105246e-01       4.5473151e-05
    456       9.5331091e-01       9.5105742e-01       4.5642348e-05
    457       9.5332708e-01       9.5106238e-01       4.5811881e-05
    458       9.5334329e-01       9.5106736e-01       4.5981750e-05
    459       9.5335955e-01       9.5107236e-01       4.6151956e-05
    460       9.5337586e-01       9.5107736e-01       4.6322499e-05
    461       9.5339222e-01       9.5108239e-01       4.6493380e-05
    462       9.5340863e-01       9.5108742e-01       4.6664600e-05
    463       9.5342510e-01       9.5109247e-01       4.6836158e-05
