--------------------------------------------------
SIMULATED ANNEALING
--------------------------------------------------
 BETA:            MU:         SIGMA:                <H>:                ERR:         ACC_X:     ACC_BOLTZ:
1060.0        0.80198        0.60878       -0.4451522041        0.0008169210        0.51795        0.00938
1060.0        0.80198        0.60878       -0.4451522041        0.0008169210        0.52798        0.33501
1110.0        0.80198        0.60878       -0.4451522041        0.0008169210        0.52398        0.12765
1110.0        0.80087        0.62421       -0.4447930316        0.0009504642        0.53085        0.67120
1110.0        0.80087        0.62421       -0.4447930316        0.0009504642        0.52761        0.07167
1110.0        0.79673        0.60750       -0.4434011382        0.0010010536        0.52318        0.21331
1110.0        0.81273        0.61389       -0.4427883128        0.0007475655        0.52871        0.50650
1160.0        0.79815        0.61918       -0.4453008224        0.0006324992        0.52757        1.00000
1160.0        0.79815        0.61918       -0.4453008224        0.0006324992        0.52122        0.21174
1160.0        0.79815        0.61918       -0.4453008224        0.0006324992        0.52820        0.12507
1160.0        0.79815        0.61918       -0.4453008224        0.0006324992        0.53069        0.09923
1160.0        0.78787        0.61215       -0.4458802546        0.0009891992        0.52310        1.00000
1210.0        0.78787        0.61215       -0.4458802546        0.0009891992        0.52369        0.01956
1210.0        0.78787        0.61215       -0.4458802546        0.0009891992        0.51958        0.00816
1210.0        0.78787        0.61215       -0.4458802546        0.0009891992        0.52252        0.03608
1210.0        0.78787        0.61215       -0.4458802546        0.0009891992        0.52029        0.01355
1210.0        0.78787        0.61215       -0.4458802546        0.0009891992        0.52925        0.19010
1260.0        0.78787        0.61215       -0.4458802546        0.0009891992        0.52193        0.15520
1260.0        0.78787        0.61215       -0.4458802546        0.0009891992        0.51922        0.01084
1260.0        0.78787        0.61215       -0.4458802546        0.0009891992        0.52393        0.08889
1260.0        0.78787        0.61215       -0.4458802546        0.0009891992        0.52366        0.04617
1260.0        0.78787        0.61215       -0.4458802546        0.0009891992        0.52037        0.01359
1310.0        0.78787        0.61215       -0.4458802546        0.0009891992        0.52088        0.00200
1310.0        0.78787        0.61215       -0.4458802546        0.0009891992        0.52906        0.13793
1310.0        0.78787        0.61215       -0.4458802546        0.0009891992        0.53326        0.04960
1310.0        0.78787        0.61215       -0.4458802546        0.0009891992        0.51998        0.00404
1310.0        0.78787        0.61215       -0.4458802546        0.0009891992        0.51770        0.00081
1360.0        0.78298        0.60937       -0.4440219738        0.0006364100        0.52113        0.07988
1360.0        0.78298        0.60937       -0.4440219738        0.0006364100        0.52511        0.17878
1360.0        0.78298        0.60937       -0.4440219738        0.0006364100        0.51819        0.00888
1360.0        0.78298        0.60937       -0.4440219738        0.0006364100        0.52348        0.36368
1360.0        0.78298        0.60937       -0.4440219738        0.0006364100        0.52733        0.53085
1410.0        0.78877        0.61888       -0.4433155566        0.0006826661        0.52442        0.36934
1410.0        0.78877        0.61888       -0.4433155566        0.0006826661        0.51959        0.44917
1410.0        0.78877        0.61888       -0.4433155566        0.0006826661        0.51795        0.04345
1410.0        0.78877        0.61888       -0.4433155566        0.0006826661        0.51855        0.07180
1410.0        0.79410        0.60467       -0.4434094386        0.0010060759        0.52162        1.00000
1460.0        0.79410        0.60467       -0.4434094386        0.0010060759        0.51379        0.00008
1460.0        0.79410        0.60467       -0.4434094386        0.0010060759        0.51385        0.00021
1460.0        0.79410        0.60467       -0.4434094386        0.0010060759        0.52044        0.00443
1460.0        0.79410        0.60467       -0.4434094386        0.0010060759        0.51732        0.01186
1460.0        0.79171        0.62250       -0.4442945233        0.0006318472        0.52772        1.00000
