            MU:         SIGMA:                <H>:              ERROR:
      0.4400000      0.6000000          -0.0836504           0.0020353
      0.4400000      0.6160000          -0.0978095           0.0015189
      0.4400000      0.6320000          -0.1175106           0.0027446
      0.4400000      0.6480000          -0.1359452           0.0018556
      0.4400000      0.6640000          -0.1479365           0.0015566
      0.4400000      0.6800000          -0.1626496           0.0018272
      0.4400000      0.6960000          -0.1763918           0.0023200
      0.4400000      0.7120000          -0.1877232           0.0012566
      0.4400000      0.7280000          -0.2012425           0.0015229
      0.4400000      0.7440000          -0.2150685           0.0015165
      0.4400000      0.7600000          -0.2263004           0.0019039
      0.4400000      0.7760000          -0.2359690           0.0010651
      0.4400000      0.7920000          -0.2409157           0.0019482
      0.4400000      0.8080000          -0.2492129           0.0019679
      0.4400000      0.8240000          -0.2531002           0.0023846
      0.4400000      0.8400000          -0.2591416           0.0022168
      0.4400000      0.8560000          -0.2568198           0.0012989
      0.4400000      0.8720000          -0.2616027           0.0023710
      0.4400000      0.8880000          -0.2609620           0.0017739
      0.4400000      0.9040000          -0.2575930           0.0013839
      0.4400000      0.9200000          -0.2639641           0.0020564
      0.4400000      0.9360000          -0.2533688           0.0028774
      0.4400000      0.9520000          -0.2499814           0.0032164
      0.4400000      0.9680000          -0.2447411           0.0028575
      0.4400000      0.9840000          -0.2339765           0.0022968
      0.4400000      1.0000000          -0.2188184           0.0030230
      0.4600000      0.2000000           5.4658424           0.0373324
      0.4600000      0.2160000           4.3642664           0.0130033
      0.4600000      0.2320000           3.4437966           0.0183414
      0.4600000      0.2480000           2.6897971           0.0143948
      0.4600000      0.2640000           2.1066031           0.0119753
      0.4600000      0.2800000           1.6062353           0.0103946
      0.4600000      0.2960000           1.2162228           0.0078935
      0.4600000      0.3120000           0.9301820           0.0066077
      0.4600000      0.3280000           0.7082636           0.0042315
      0.4600000      0.3440000           0.5380573           0.0047264
      0.4600000      0.3600000           0.4079977           0.0048728
      0.4600000      0.3760000           0.3221921           0.0029980
      0.4600000      0.3920000           0.2438652           0.0030128
      0.4600000      0.4080000           0.1858476           0.0034271
      0.4600000      0.4240000           0.1364696           0.0015905
      0.4600000      0.4400000           0.0941048           0.0027557
      0.4600000      0.4560000           0.0672161           0.0024878
      0.4600000      0.4720000           0.0409700           0.0022620
      0.4600000      0.4880000           0.0141975           0.0015558
      0.4600000      0.5040000          -0.0055179           0.0016478
      0.4600000      0.5200000          -0.0304927           0.0022710
      0.4600000      0.5360000          -0.0472363           0.0008471
      0.4600000      0.5520000          -0.0647063           0.0020096
      0.4600000      0.5680000          -0.0825010           0.0013396
      0.4600000      0.5840000          -0.0991383           0.0016318
      0.4600000      0.6000000          -0.1167687           0.0013850
      0.4600000      0.6160000          -0.1298436           0.0014413
      0.4600000      0.6320000          -0.1443463           0.0015040
      0.4600000      0.6480000          -0.1580945           0.0017862
      0.4600000      0.6640000          -0.1725732           0.0019131
      0.4600000      0.6800000          -0.1831835           0.0017592
      0.4600000      0.6960000          -0.1944015           0.0017297
      0.4600000      0.7120000          -0.2089778           0.0016308
      0.4600000      0.7280000          -0.2204995           0.0014355
      0.4600000      0.7440000          -0.2310497           0.0017714
      0.4600000      0.7600000          -0.2378897           0.0013859
      0.4600000      0.7760000          -0.2448681           0.0009522
      0.4600000      0.7920000          -0.2543997           0.0014168
      0.4600000      0.8080000          -0.2591477           0.0017407
      0.4600000      0.8240000          -0.2634654           0.0020484
      0.4600000      0.8400000          -0.2695441           0.0016758
      0.4600000      0.8560000          -0.2645254           0.0027139
      0.4600000      0.8720000          -0.2691261           0.0013836
      0.4600000      0.8880000          -0.2691390           0.0019284
      0.4600000      0.9040000          -0.2670072           0.0025372
      0.4600000      0.9200000          -0.2575873           0.0026102
      0.4600000      0.9360000          -0.2549328           0.0036562
      0.4600000      0.9520000          -0.2471029           0.0020941
      0.4600000      0.9680000          -0.2364594           0.0041493
      0.4600000      0.9840000          -0.2260926           0.0019021
      0.4600000      1.0000000          -0.2132640           0.0033969
      0.4800000      0.2000000           5.4785922           0.0312715
      0.4800000      0.2160000           4.4375806           0.0280922
      0.4800000      0.2320000           3.5959223           0.0157108
      0.4800000      0.2480000           2.8063258           0.0255974
      0.4800000      0.2640000           2.2143341           0.0107430
      0.4800000      0.2800000           1.7109929           0.0058369
      0.4800000      0.2960000           1.3103185           0.0097113
      0.4800000      0.3120000           0.9744645           0.0069643
      0.4800000      0.3280000           0.7522298           0.0102162
      0.4800000      0.3440000           0.5699937           0.0046781
      0.4800000      0.3600000           0.4245301           0.0061896
      0.4800000      0.3760000           0.3065015           0.0044331
      0.4800000      0.3920000           0.2203389           0.0042980
      0.4800000      0.4080000           0.1526270           0.0033492
      0.4800000      0.4240000           0.1070557           0.0018804
      0.4800000      0.4400000           0.0617155           0.0017572
      0.4800000      0.4560000           0.0253722           0.0032650
      0.4800000      0.4720000          -0.0029423           0.0020576
      0.4800000      0.4880000          -0.0253081           0.0014720
      0.4800000      0.5040000          -0.0458386           0.0016546
      0.4800000      0.5200000          -0.0663897           0.0016123
      0.4800000      0.5360000          -0.0818743           0.0015375
      0.4800000      0.5520000          -0.0990033           0.0017782
      0.4800000      0.5680000          -0.1169663           0.0022139
      0.4800000      0.5840000          -0.1318198           0.0018685
      0.4800000      0.6000000          -0.1479461           0.0014577
      0.4800000      0.6160000          -0.1606768           0.0011975
      0.4800000      0.6320000          -0.1711118           0.0014590
      0.4800000      0.6480000          -0.1854287           0.0015756
      0.4800000      0.6640000          -0.1946786           0.0017944
      0.4800000      0.6800000          -0.2068864           0.0015922
      0.4800000      0.6960000          -0.2157947           0.0009483
      0.4800000      0.7120000          -0.2275859           0.0012008
      0.4800000      0.7280000          -0.2369398           0.0009619
      0.4800000      0.7440000          -0.2459193           0.0019658
      0.4800000      0.7600000          -0.2513676           0.0017551
      0.4800000      0.7760000          -0.2571279           0.0011106
      0.4800000      0.7920000          -0.2632400           0.0014981
      0.4800000      0.8080000          -0.2669541           0.0013789
      0.4800000      0.8240000          -0.2717223           0.0015419
      0.4800000      0.8400000          -0.2698936           0.0019679
      0.4800000      0.8560000          -0.2725989           0.0015654
      0.4800000      0.8720000          -0.2732404           0.0014176
      0.4800000      0.8880000          -0.2668742           0.0025672
      0.4800000      0.9040000          -0.2662742           0.0021505
      0.4800000      0.9200000          -0.2621792           0.0021148
      0.4800000      0.9360000          -0.2546461           0.0024682
      0.4800000      0.9520000          -0.2427389           0.0023452
      0.4800000      0.9680000          -0.2346665           0.0022392
      0.4800000      0.9840000          -0.2256916           0.0018811
      0.4800000      1.0000000          -0.2103678           0.0050922
      0.5000000      0.2000000           5.5377207           0.0351975
      0.5000000      0.2160000           4.4846770           0.0271132
      0.5000000      0.2320000           3.6705730           0.0298214
      0.5000000      0.2480000           2.9187868           0.0256627
      0.5000000      0.2640000           2.3206224           0.0126105
      0.5000000      0.2800000           1.7983794           0.0122769
      0.5000000      0.2960000           1.4254386           0.0112806
      0.5000000      0.3120000           1.0574177           0.0094167
