COST_FUNCTION:      MEAN_COST_FUNCTION:
    2.2889239                5.2873667
    2.2889239                4.5843282
    2.2889239                4.7145722
    2.2889239                6.2766205
    2.2889239                5.6809170
    2.2889239                5.4559271
    2.2889239                6.2266760
    2.2889239                5.8190794
    2.2889239                5.6513603
    2.2889239                5.2976190
    2.2889239                6.0051751
    2.2889239                5.0333764
    2.2889239                4.5691255
    2.2889239                5.2299492
    2.2889239                5.8026192
    2.2889239                5.9058668
    2.2889239                6.3893805
    2.2889239                6.6412203
    2.2889239                5.7631520
    2.2889239                5.7174527
    2.2889239                4.8351806
    2.2889239                5.5478446
    2.2889239                5.0633680
    2.2889239                5.2095394
    2.2889239                5.9431894
    2.2889239                4.7582683
    2.2889239                5.2392768
    2.1009600                5.6433881
    2.2889239                4.6930614
    2.2889239                5.8349642
    2.2889239                6.1395009
    2.2889239                6.1754116
    2.2889239                5.0467695
    2.2889239                5.8841794
    2.2889239                5.9440969
    2.2889239                5.3657489
    2.2889239                5.4101868
    2.2889239                5.4369644
    2.2889239                5.0833146
    2.2889239                4.9802373
    2.2889239                5.3427614
    2.1009600                4.6767309
    2.2889239                4.4993556
    2.2889239                5.5761832
    2.2889239                5.1197971
    2.2889239                5.6116019
    2.2889239                5.4243015
    2.2889239                5.9666333
    2.2889239                4.5184538
    2.2889239                5.3714776
    2.2889239                6.1891490
    2.2889239                6.4375270
    2.1009600                5.5215418
    2.1009600                5.8539942
    2.2889239                5.8713086
    2.2889239                5.6154436
    2.2889239                6.0487252
    2.2889239                4.7273699
    2.2889239                5.0526955
    2.1009600                4.3160906
    2.2889239                5.0605563
    2.2889239                5.1804017
    2.2889239                6.1496501
    2.2889239                4.9893837
    2.2889239                6.1125815
    2.2889239                6.2444389
    2.2889239                6.1162531
    2.2889239                5.4320960
    2.2889239                5.6707541
    2.2889239                5.9031502
    2.2889239                5.7016965
    2.2889239                5.8804637
    2.2889239                5.3699622
    2.2889239                4.8200115
    2.2889239                5.2370219
    2.2889239                5.3273501
    2.2889239                5.8503006
    2.2889239                5.9752644
    2.2889239                5.3951082
    2.2889239                5.6251896
    2.2889239                6.1589293
    2.2889239                5.4464371
    2.2889239                4.9648649
