COST_FUNCTION:      MEAN_COST_FUNCTION:
 4659.4605386             5223.0937439
 4659.4605386             5081.0263411
 4659.4605386             5200.4008754
 4659.4605386             5144.0670430
 4655.3577339             5184.7992473
 4659.4605386             5089.7548456
 4659.4605386             5075.7780127
 4659.4605386             5049.6984002
 4659.4605386             5146.5364550
 4655.3577339             5240.0921575
 4659.4605386             5057.1818659
 4659.4605386             5048.2815319
 4659.4605386             5151.3483556
 4659.4605386             5063.5026343
 4659.4605386             5138.6210367
 4659.4605386             5098.3597629
 4659.4605386             5040.7314865
 4659.4605386             5175.6551105
 4659.4605386             5124.3482586
 4659.4605386             5073.9771570
 4659.4605386             5214.8033860
 4659.4605386             5156.7436822
 4659.4605386             5050.8361946
 4659.4605386             5067.4630972
 4659.4605386             5114.7119585
 4659.4605386             5027.5155551
 4659.4605386             5118.8294026
 4659.4605386             5154.5055617
 4659.4605386             5120.9409882
 4659.4605386             5078.3656074
 4659.4605386             5143.2280978
 4659.4605386             5170.2466904
 4659.4605386             5205.1463992
 4659.4605386             5134.2157349
 4659.4605386             5093.7322648
 4659.4605386             5120.6914312
 4659.4605386             5141.2567147
 4659.4605386             5057.0327164
 4659.4605386             5218.4918525
 4659.4605386             5059.2240380
 4659.4605386             5057.4002047
 4659.4605386             5151.4941990
 4659.4605386             5079.1622229
 4659.4605386             5066.8821977
 4659.4605386             5047.6814128
 4659.4605386             5156.6176413
 4659.4605386             5179.1536492
 4659.4605386             5121.7034047
 4659.4605386             5121.7574424
 4659.4605386             5027.6174937
 4659.4605386             5051.8026443
 4659.4605386             5065.2908730
 4659.4605386             5113.4167957
 4659.4605386             5124.5361554
 4659.4605386             5012.2451682
 4659.4605386             5085.3095578
 4659.4605386             5060.5353573
 4659.4605386             5088.1982862
 4659.4605386             5069.5994831
 4659.4605386             5044.8058411
 4659.4605386             5176.9238479
 4659.4605386             5119.7447998
 4659.4605386             5129.2775763
 4659.4605386             5021.5046308
 4659.4605386             5119.5639090
 4659.4605386             5100.5278909
 4659.4605386             5067.8939592
 4659.4605386             5008.8344370
 4659.4605386             5084.3004426
 4659.4605386             5160.2893395
 4659.4605386             5060.4106356
 4659.4605386             5051.4659692
 4659.4605386             5081.4045808
 4659.4605386             5100.6405016
 4659.4605386             5021.3900853
 4659.4605386             5141.5721907
 4659.4605386             5040.6844721
 4659.4605386             5091.6002037
 4659.4605386             5126.0557880
 4659.4605386             5137.0459814
 4659.4605386             5147.0446718
 4659.4605386             5122.7342453
 4659.4605386             5065.8262706
 4659.4605386             5058.1960422
 4659.4605386             5068.5123657
 4659.4605386             5003.3420844
 4659.4605386             5138.1104358
 4659.4605386             5055.5347420
 4659.4605386             5180.1881986
 4659.4605386             5138.7105313
 4659.4605386             5165.1502088
 4659.4605386             5136.5824858
 4659.4605386             5043.7132882
 4659.4605386             5097.7957329
 4659.4605386             5080.9961493
 4659.4605386             5157.7758061
 4659.4605386             5125.6598372
 4659.4605386             5115.1095674
 4659.4605386             5120.8379128
 4659.4605386             5163.7838169
 4659.4605386             4987.0325497
 4659.4605386             5003.2524845
 4659.4605386             5128.2469128
 4659.4605386             5176.0941858
 4659.4605386             5187.4528973
 4659.4605386             5191.3974061
 4659.4605386             5166.5208639
 4659.4605386             5098.7316386
 4659.4605386             5131.2223116
 4659.4605386             5109.0132055
 4659.4605386             5159.5737144
 4659.4605386             5084.8842177
 4659.4605386             5127.1251327
 4659.4605386             5135.8984769
 4659.4605386             5097.4359042
 4659.4605386             5114.5412760
 4659.4605386             5216.7303571
 4659.4605386             5074.0876283
 4659.4605386             5032.1810396
 4659.4605386             5071.0760054
 4659.4605386             5201.9083975
 4659.4605386             5195.2299405
 4659.4605386             5140.9598879
 4659.4605386             5074.8425310
 4659.4605386             5137.2741287
 4659.4605386             5125.1764801
 4659.4605386             5163.2967801
 4659.4605386             5081.9792412
 4659.4605386             5047.3300894
 4659.4605386             5102.9290160
 4659.4605386             5152.0953455
 4659.4605386             5066.4086554
 4659.4605386             5006.1429922
 4659.4605386             5199.1176923
 4659.4605386             5127.5766522
 4659.4605386             5170.1381249
 4659.4605386             5059.9016617
 4659.4605386             5082.7063197
 4659.4605386             5156.1927073
 4659.4605386             5029.2446522
 4659.4605386             5083.5267722
 4659.4605386             5128.8272319
 4659.4605386             5153.8070861
 4659.4605386             5070.0328979
 4659.4605386             5060.9763840
 4659.4605386             5063.9365904
 4659.4605386             5091.3660711
 4659.4605386             5096.5870064
 4659.4605386             5049.8119682
 4659.4605386             5118.9395451
 4659.4605386             4996.2873847
 4659.4605386             5116.3275004
 4659.4605386             5121.2991423
 4659.4605386             5078.2234729
 4659.4605386             5141.7159915
 4659.4605386             5099.8243037
 4659.4605386             5147.5962891
 4659.4605386             5082.8847826
 4659.4605386             5111.8034451
 4659.4605386             5147.8587239
 4659.4605386             5084.6238906
 4659.4605386             5115.6665979
 4659.4605386             5128.5845457
 4659.4605386             5156.0421538
 4659.4605386             5052.7575658
 4659.4605386             5122.4491413
 4659.4605386             5198.7003343
 4659.4605386             5032.0447403
 4659.4605386             5046.6721205
 4659.4605386             5213.9271627
 4659.4605386             5191.7064228
 4659.4605386             5245.7346896
 4659.4605386             5190.9852320
 4659.4605386             5097.0223161
 4659.4605386             5151.6456113
 4659.4605386             5209.0958126
 4659.4605386             5132.7036465
 4659.4605386             5098.8025005
 4659.4605386             5102.5217124
 4659.4605386             5078.9119791
 4659.4605386             5070.6696787
 4659.4605386             5139.8849186
 4659.4605386             5105.5644225
 4659.4605386             5053.5289996
 4659.4605386             5135.9146864
 4659.4605386             5125.1132440
 4659.4605386             5100.6349393
 4659.4605386             5275.5515840
 4659.4605386             5086.2522964
 4659.4605386             5071.6514106
 4659.4605386             5109.1563252
 4659.4605386             4966.7051838
 4659.4605386             5133.9521930
 4659.4605386             5105.0431903
 4659.4605386             5082.1743919
 4659.4605386             5127.3400783
 4659.4605386             5081.9057915
 4659.4605386             5116.7345674
 4659.4605386             5072.1705021
 4659.4605386             5128.4968086
 4659.4605386             5114.2869633
 4659.4605386             5158.9628712
 4659.4605386             5091.7561075
 4659.4605386             5081.5708461
 4659.4605386             5201.6652610
 4659.4605386             5215.0326937
 4659.4605386             5069.2328319
 4659.4605386             5175.2446234
 4659.4605386             5121.4155793
 4659.4605386             5133.3805420
 4659.4605386             5090.2656796
 4659.4605386             5192.5357967
 4659.4605386             5145.3295976
